pos,turn,result
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R,0,-1
rnbqkbnr/ppppp1pp/8/5p2/8/5N2/PPPPPPPP/RNBQKB1R,1,-1
rnbqkbnr/ppppp1pp/8/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R,0,-1
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R,1,-1
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/5NP1/PPP1PP1P/RNBQKB1R,0,-1
rnbqkb1r/ppppp2p/5np1/5p2/3P4/5NP1/PPP1PP1P/RNBQKB1R,1,-1
rnbqkb1r/ppppp2p/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQK2R,0,-1
rnbqk2r/ppppp1bp/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQK2R,1,-1
rnbqk2r/ppppp1bp/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1,0,-1
rnbq1rk1/ppppp1bp/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1,1,-1
rnbq1rk1/ppppp1bp/5np1/5p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1,0,-1
rnbq1rk1/pppp2bp/4pnp1/5p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1,1,-1
rnbq1rk1/pppp2bp/4pnp1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1,0,-1
rnbq1rk1/ppp3bp/4pnp1/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1,1,-1
rnbq1rk1/ppp3bp/4pnp1/3p1p2/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1,0,-1
rnbq1rk1/pp4bp/2p1pnp1/3p1p2/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1,1,-1
rnbq1rk1/pp4bp/2p1pnp1/2Pp1p2/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1,0,-1
r1bq1rk1/pp1n2bp/2p1pnp1/2Pp1p2/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1,1,-1
r1bq1rk1/pp1n2bp/2pBpnp1/2Pp1p2/3P4/2N2NP1/PP2PPBP/R2Q1RK1,0,-1
r1bqr1k1/pp1n2bp/2pBpnp1/2Pp1p2/3P4/2N2NP1/PP2PPBP/R2Q1RK1,1,-1
r1bqr1k1/pp1n2bp/2pBpnp1/2PpNp2/3P4/2N3P1/PP2PPBP/R2Q1RK1,0,-1
r1bqrbk1/pp1n3p/2pBpnp1/2PpNp2/3P4/2N3P1/PP2PPBP/R2Q1RK1,1,-1
r1bqrBk1/pp1n3p/2p1pnp1/2PpNp2/3P4/2N3P1/PP2PPBP/R2Q1RK1,0,-1
r1bq1rk1/pp1n3p/2p1pnp1/2PpNp2/3P4/2N3P1/PP2PPBP/R2Q1RK1,1,-1
r1bq1rk1/pp1n3p/2p1pnp1/2PpNp2/3P1P2/2N3P1/PP2P1BP/R2Q1RK1,0,-1
r1bq1rk1/pp5p/2p1pnp1/2Ppnp2/3P1P2/2N3P1/PP2P1BP/R2Q1RK1,1,-1
r1bq1rk1/pp5p/2p1pnp1/2PpPp2/3P4/2N3P1/PP2P1BP/R2Q1RK1,0,-1
r1bq1rk1/pp1n3p/2p1p1p1/2PpPp2/3P4/2N3P1/PP2P1BP/R2Q1RK1,1,-1
r1bq1rk1/pp1n3p/2p1p1p1/2PpPp2/1P1P4/2N3P1/P3P1BP/R2Q1RK1,0,-1
r1bq1rk1/p2n3p/1pp1p1p1/2PpPp2/1P1P4/2N3P1/P3P1BP/R2Q1RK1,1,-1
r1bq1rk1/p2n3p/1pp1p1p1/2PpPp2/1P1P4/2N3P1/P1Q1P1BP/R4RK1,0,-1
r1bq1rk1/3n3p/1pp1p1p1/p1PpPp2/1P1P4/2N3P1/P1Q1P1BP/R4RK1,1,-1
r1bq1rk1/3n3p/1pp1p1p1/p1PpPp2/1P1P4/P1N3P1/2Q1P1BP/R4RK1,0,-1
r2q1rk1/3n3p/bpp1p1p1/p1PpPp2/1P1P4/P1N3P1/2Q1P1BP/R4RK1,1,-1
r2q1rk1/3n3p/bpp1p1p1/p1PpPp2/1P1P4/P1N3P1/2Q1P1BP/RR4K1,0,-1
r2q1rk1/3n3p/1pp1p1p1/p1PpPp2/1PbP4/P1N3P1/2Q1P1BP/RR4K1,1,-1
r2q1rk1/3n3p/1pp1p1p1/p1PpPp2/1PbP4/P1N1P1P1/2Q3BP/RR4K1,0,-1
r4rk1/3n3p/1pp1p1p1/p1PpPpq1/1PbP4/P1N1P1P1/2Q3BP/RR4K1,1,-1
r4rk1/3n3p/1pp1p1p1/p1PpPpq1/1PbP4/P1N1P1P1/5QBP/RR4K1,0,-1
rr4k1/3n3p/1pp1p1p1/p1PpPpq1/1PbP4/P1N1P1P1/5QBP/RR4K1,1,-1
rr4k1/3n3p/1pp1p1p1/p1PpPpq1/1PbP4/P1N1P1P1/5Q1P/RR3BK1,0,-1
rr4k1/3n3p/1pp1p1p1/p1PpPpq1/1P1P4/P1N1P1P1/5Q1P/RR3bK1,1,-1
rr4k1/3n3p/1pp1p1p1/p1PpPpq1/1P1P4/P1N1P1P1/5Q1P/RR3K2,0,-1
rr4k1/3n3p/2p1p1p1/ppPpPpq1/1P1P4/P1N1P1P1/5Q1P/RR3K2,1,-1
rr4k1/3n3p/2p1p1p1/ppPpPpq1/1P1P4/P3P1P1/4NQ1P/RR3K2,0,-1
rr4k1/3n3p/2p1p1pq/ppPpPp2/1P1P4/P3P1P1/4NQ1P/RR3K2,1,-1
rr4k1/3n3p/2p1p1pq/ppPpPp2/1P1P3P/P3P1P1/4NQ2/RR3K2,0,-1
1r4k1/r2n3p/2p1p1pq/ppPpPp2/1P1P3P/P3P1P1/4NQ2/RR3K2,1,-1
1r4k1/r2n3p/2p1p1pq/ppPpPp2/1P1P3P/P3P1P1/5Q2/RRN2K2,0,-1
1r3nk1/r6p/2p1p1pq/ppPpPp2/1P1P3P/P3P1P1/5Q2/RRN2K2,1,-1
1r3nk1/r6p/2p1p1pq/ppPpPp2/1P1P3P/PN2P1P1/5Q2/RR3K2,0,-1
1r3nk1/r6p/2p1p1pq/1pPpPp2/pP1P3P/PN2P1P1/5Q2/RR3K2,1,-1
